word,Agreeableness,Extroversion,Conscientiousness,Neuroticism,Openness/Intellect
Sympathetic,0.62,0.02,-0.05,0.07,0.03
Kind,0.6,0.07,0.06,0.02,0
Warm,0.56,0.26,0.06,0.1,0.07
Understanding,0.53,0.03,0.1,-0.04,0.13
Courteous,0.53,-0.07,0.23,0.02,0
Compassionate,0.52,0.12,0.02,0.13,0.18
Cooperative,0.52,-0.04,0.22,-0.18,-0.03
Polite,0.52,-0.07,0.3,0.04,-0.07
Affectionate,0.51,0.21,-0.01,0.21,0.09
Considerate,0.51,-0.01,0.18,-0.07,0.05
Respectful,0.51,-0.04,0.31,-0.02,-0.16
Sincere,0.49,-0.01,0.12,-0.05,0.1
Sentimental,0.48,0.08,0.01,0.34,-0.09
Cordial,0.47,0.07,0.01,0.02,0.16
Helpful,0.47,0.14,0.19,-0.14,0.09
Tolerant,0.46,-0.17,-0.07,-0.36,0.13
Charitable,0.46,0.12,0.04,-0.14,0.11
Sensitive,0.46,-0.1,0,0.35,0.23
Agreeable,0.46,-0.07,-0.01,-0.16,0.03
Pleasant,0.45,0.22,0.03,-0.22,-0.06
Feminine,0.43,0,-0.06,0.37,0.02
Trustful,0.43,0.06,0.15,-0.23,-0.13
Loyal,0.43,0.06,0.13,-0.03,0.09
Thoughtful,0.42,-0.07,0.2,-0.03,0.15
Peaceful,0.42,-0.08,0.1,-0.32,-0.02
Obliging,0.41,-0.08,0.05,-0.11,0.03
Generous,0.4,0.15,-0.03,-0.15,0.04
Amiable,0.4,0.08,-0.08,-0.08,0.27
Cheerful,0.4,0.38,0.03,-0.22,-0.06
Mannerly,0.39,-0.09,0.34,0.1,-0.02
Flexible,0.39,0.07,-0.02,-0.2,0.13
Reasonable,0.38,-0.06,0.25,-0.25,0.12
Modest,0.37,-0.29,0.18,-0.08,-0.01
Genial,0.37,0.14,-0.08,-0.03,0.3
Jovial,0.37,0.36,-0.06,-0.13,0.09
Accommodating,0.35,0.02,0.03,-0.12,0.01
