TDATN,Allport Odbert source,Norman source,Saucier,G&N 1710,,,,,,,,
a la militaire,Allport Odbert - Column I,Norman - category 3; form 1,not included,not included,,,,,,,,
a la mode,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
a-tiptoe,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
abandoned,Allport Odbert - Column I,Norman - category 3; form 1,not included,not included,,,,,,,,
abashed,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
abject,Allport Odbert - Column I,Norman - category 2; form 2,not included,not included,,,,,,,,
ablaze,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
able,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
abnormal,Allport Odbert - Column III,not included,included,not included,,,,,,,,
abortive,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
aboveboard,not included,Norman - category 3; form 11,not included,not included,,,,,,,,
abrasive,Allport Odbert - Column IV,Norman - category 3; form 3,not included,included,,,,,,,,
abrupt,Allport Odbert - Column I,Norman - category 1; form 4,not included,included,,,,,,,,
absent,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
absent-minded,Allport Odbert - Column I,Norman - category 1; form 5,not included,included,,,,,,,,
absinthine,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
absolute,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
absolutist,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
absorbed,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
absorbent,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
absorbing,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
abstemious,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
abstentious,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
abstinent,Allport Odbert - Column I,Norman - category 1; form 1,not included,included,,,,,,,,
abstract,Allport Odbert - Column IV,Norman - category 3; form 2,not included,included,,,,,,,,
abstracted,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
abstractive,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
abstruse,Allport Odbert - Column I,Norman - category 2; form 3,not included,not included,,,,,,,,
absurd,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
abundant,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
abusive,Allport Odbert - Column II,Norman - category 1; form 4,not included,included,,,,,,,,
abysmal,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
academic,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
acanaceous,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
acaroid,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
acceding,not included,Norman - category 2; form 12,not included,not included,,,,,,,,
accelerative,Allport Odbert - Column I,Norman - category 3; form 3,not included,not included,,,,,,,,
accendible,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
acceptable,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
acceptant,not included,Norman - category 3; form 13,not included,included,,,,,,,,
accessible,Allport Odbert - Column I,Norman - category 1; form 1,not included,included,,,,,,,,
accidental,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
accidential,Allport Odbert - Column III,Norman - category 3; form 2,not included,not included,,,,,,,,
accipitral,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
acclaimed,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
accommodating,Allport Odbert - Column I,Norman - category 1; form 3,not included,included,,,,,,,,
accomplished,Allport Odbert - Column III,Norman - category 1; form 4,not included,included,,,,,,,,
accordiable,Allport Odbert - Column I,Norman - category 3; form 5,not included,not included,,,,,,,,
accostable,Allport Odbert - Column I,Norman - category 2; form 1,not included,not included,,,,,,,,
accountable,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
accountless,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
accrescent,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
accretive,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
accroaching,Allport Odbert - Column I,Norman - category 2; form 2,not included,not included,,,,,,,,
accumbrous,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
accurate,Allport Odbert - Column I,Norman - category 1; form 3,not included,included,,,,,,,,
accursed,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
accusing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
accusive,not included,Norman - category 3; form 14,not included,not included,,,,,,,,
acentric,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
acerb,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
acerbate,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
acerbic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
acescent,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
acetose,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
acharné,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
Achatean,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
Acherontic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
Achillean,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
achromic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
aciculate,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
acid,Allport Odbert - Column IV,Norman - category 3; form 4,not included,included,,,,,,,,
acidiferous,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
acidulous,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
acknowledged,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
acquainted,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
acquiescent,Allport Odbert - Column I,Norman - category 1; form 5,not included,included,,,,,,,,
acquired,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
acquisitive,Allport Odbert - Column I,Norman - category 1; form 1,not included,included,,,,,,,,
acranial,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
acrid,Allport Odbert - Column IV,Norman - category 2; form 2,not included,not included,,,,,,,,
acrimonious,Allport Odbert - Column II,Norman - category 2; form 3,not included,not included,,,,,,,,
acrobatical,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
acronarcotic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
active,Allport Odbert - Column I,Norman - category 1; form 4,not included,included,,,,,,,,
acute,Allport Odbert - Column I,Norman - category 1; form 5,not included,not included,,,,,,,,
adagio,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
adamantean,Allport Odbert - Column I,Norman - category 3; form 1,not included,not included,,,,,,,,
adaptable,not included,Norman - category 3; form 11,not included,included,,,,,,,,
adaptive,Allport Odbert - Column IV,Norman - category 1; form 2,not included,included,,,,,,,,
addicted,Allport Odbert - Column IV,Norman - category 3; form 3,not included,not included,,,,,,,,
Addisonian,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
addle-brained,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
adept,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
adherent,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
adhesive,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
adipose,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
adjustable,not included,Norman - category 3; form 12,not included,included,,,,,,,,
adjuvant,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
admirable,Allport Odbert - Column III,not included,included,not included,,,,,,,,
admonitory,not included,Norman - category 3; form 13,not included,not included,,,,,,,,
adorable,Allport Odbert - Column III,not included,included,not included,,,,,,,,
adread,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
adream,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
adrift,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
adroit,Allport Odbert - Column IV,Norman - category 2; form 4,not included,not included,,,,,,,,
adroop,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
adrowse,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
adsorptive,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
adulating,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
adulatory,Allport Odbert - Column I,Norman - category 2; form 5,not included,not included,,,,,,,,
adulterated,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
adulterous,Allport Odbert - Column III,Norman - category 2; form 1,not included,included,,,,,,,,
adumbral,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
aduncal,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
adust,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
advanced,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
advancive,Allport Odbert - Column I,Norman - category 3; form 2,not included,not included,,,,,,,,
advantageous,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
adventive,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
adventurous,Allport Odbert - Column I,Norman - category 1; form 3,not included,included,,,,,,,,
adversary,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
advertent,Allport Odbert - Column I,Norman - category 2; form 4,not included,not included,,,,,,,,
advertising,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
advised,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
adynamic,Allport Odbert - Column IV,Norman - category 3; form 5,not included,not included,,,,,,,,
aeolistic,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
aerial,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
aeriferous,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
aeriform,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
aerose,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
aery,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
Aeschylean,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
aeschynomenous,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
Aesopian,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
aesthete,not included,Norman - category 2; form 12,not included,not included,,,,,,,,
aesthetic,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
aestival,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
aestuous,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
afald,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
afeard,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
affable,Allport Odbert - Column I,Norman - category 2; form 1,not included,included,,,,,,,,
affected,Allport Odbert - Column III,Norman - category 3; form 2,not included,included,,,,,,,,
affectionate,Allport Odbert - Column I,Norman - category 1; form 3,not included,included,,,,,,,,
affective,Allport Odbert - Column I,Norman - category 2; form 4,not included,not included,,,,,,,,
affirmative,not included,Norman - category 3; form 11,not included,included,,,,,,,,
afflicted,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
afflicting,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
affluent,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
affrighted,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
affronted,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
affrontive,Allport Odbert - Column III,Norman - category 2; form 5,not included,not included,,,,,,,,
afire,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
aflame,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
aflare,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
aflaunt,Allport Odbert - Column I,Norman - category 3; form 1,not included,not included,,,,,,,,
aflow,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
aflush,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
aflutter,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
afraid,Allport Odbert - Column II,not included,included,not included,,,,,,,,
afrown,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
afterwise,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
afterwitted,Allport Odbert - Column I,Norman - category 3; form 2,not included,not included,,,,,,,,
agacant,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
agasp,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
agathokakological,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
agensic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
agglomerative,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
agglutinative,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
aggravating,Allport Odbert - Column II,not included,included,not included,,,,,,,,
aggravative,Allport Odbert - Column III,Norman - category 3; form 3,not included,not included,,,,,,,,
aggregative,Allport Odbert - Column I,Norman - category 3; form 4,not included,not included,,,,,,,,
aggressive,Allport Odbert - Column I,Norman - category 1; form 5,not included,included,,,,,,,,
aggrieved,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
aghast,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
agile,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
agitable,Allport Odbert - Column IV,Norman - category 2; form 1,not included,included,,,,,,,,
agitated,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
agitating,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
agitative,Allport Odbert - Column III,Norman - category 2; form 2,not included,included,,,,,,,,
aglossate,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
agnostical,Allport Odbert - Column I,Norman - category 2; form 3,not included,not included,,,,,,,,
agog,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
agonistical,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
agonized,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
agonizing,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
agreeable,Allport Odbert - Column III,Norman - category 1; form 4,not included,included,,,,,,,,
agrestial,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
agrestic,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
agrodolce,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
