TERM,NLP1,NLP2,NLP3,NLP4,NLP5,Agreeableness,Extroversion,Conscientiousness,Neuroticism,Openness/Intellect
able,41.205665588378906,-15.847004890441895,23.633230209350586,7.646682262420654,4.601667404174805,,,,,
abnormal,-24.398056030273438,-13.91270923614502,-6.624976634979248,13.655023574829102,35.641883850097656,,,,,
abrasive,-36.515018463134766,-21.328758239746094,27.887435913085938,-3.887120008468628,-17.92840576171875,,,,,
abrupt,-27.935199737548828,-12.034655570983887,19.241662979125977,11.194574356079102,-9.704855918884277,-0.41,0.12,-0.1,0.11,0.07
absent-minded,-19.05077362060547,8.857266426086426,-34.86155319213867,3.238861322402954,-13.561809539794922,0.02,-0.1,-0.5,0.05,0.09
abstemious,27.20525550842285,54.412864685058594,12.401496887207031,-16.355709075927734,-9.028892517089844,,,,,
abstinent,2.8504140377044678,37.378509521484375,1.3690505027770996,6.945030689239502,2.7867941856384277,,,,,
abstract,1.5384223461151123,12.957984924316406,-1.833319902420044,22.685348510742188,27.417909622192383,,,,,
abstruse,-1.4889589548110962,38.886497497558594,17.107257843017578,10.794800758361816,11.078923225402832,,,,,
absurd,-24.27704620361328,-24.335195541381836,-8.432639122009277,9.080126762390137,15.629328727722168,,,,,
abusive,-50.29335021972656,-10.02334213256836,13.768698692321777,-25.048673629760742,-7.085571765899658,-0.46,0.01,-0.11,-0.03,-0.11
academic,18.5883846282959,12.78746509552002,20.7940673828125,-4.948713779449463,7.687739849090576,,,,,
acceptant,49.39439010620117,9.751367568969727,-21.350526809692383,-3.5987300872802734,-9.884904861450195,,,,,
accepting,53.167118072509766,0.17621572315692902,-18.37505340576172,-14.106775283813477,-10.061851501464844,,,,,
accessible,45.8880729675293,-18.943418502807617,-14.317282676696777,10.017899513244629,-1.5130890607833862,,,,,
accommodating,56.41739273071289,-3.9142093658447266,-22.228992462158203,-19.907541275024414,-11.744852066040039,0.35,0.02,0.03,-0.12,0.01
accomplished,36.5842399597168,-12.200536727905273,36.75981903076172,0.5847804546356201,12.26476764678955,,,,,
accountable,24.15670394897461,7.147109031677246,29.089244842529297,2.527101755142212,9.362060546875,,,,,
accurate,26.18865394592285,-8.589423179626465,24.853408813476562,10.16718578338623,16.774778366088867,,,,,
accusing,-35.41169738769531,-3.8468778133392334,34.09434509277344,-16.804227828979492,-4.411952495574951,,,,,
acerbic,-24.13622283935547,-23.952560424804688,29.8132266998291,-6.008800029754639,-11.332611083984375,,,,,
acid,-30.9329833984375,-3.506869316101074,-0.8556501865386963,3.124694347381592,19.493919372558594,,,,,
acquiescent,30.765182495117188,33.588035583496094,-31.38172721862793,-9.242975234985352,-11.69347095489502,,,,,
