TERM,ALmeanFrequency,Orig OrderIn1710List,NormanCategory2800List,Saucier list?,G&N 1710 list?,Allport Odbert source,COCA freq rank,definitions,,,,,,
able,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,360,"having the skill, power, or opportunity that one must have to do something.",73,,,,,
abnormal,NA,NA,NA,yes,nope,Allport Odbert - Column III,10767,different from the typical or usual.,36,,,,,
abrasive,4.30,1,Norman - category 3; form 3,nope,yes,Allport Odbert - Column IV,23846,tending to cause offense or irritation through harshness or insensitivity.,74,,,,,
abrupt,4.20,2,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,11855,curt; brusque in manner.,24,,,,,
absent-minded,5.60,3,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,53190,not paying attention to the immediate task or event because preoccupied with other matters.,91,,,,,
abstemious,NA,NA,dropped,nope,nope,Allport Odbert - Column I,78109,marked by restraint; not self-indulgent.,34,,,,,
abstinent,1.30,4,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,39976,of a person who refrains from experiencing enjoyable activities.,64,,,,,
abstract,1.70,5,Norman - category 3; form 2,nope,yes,Allport Odbert - Column IV,4754,hard to comprehend; conceptual.,29,,,,,
abstruse,NA,NA,Norman - category 2; form 3,nope,nope,Allport Odbert - Column I,51456,difficult to comprehend or understand; esoteric; arcane.,56,,,,,
absurd,NA,NA,dropped,nope,nope,Allport Odbert - Column III,7633,ridiculous; illogical; contrary to rational thought.,52,,,,,
abusive,5.20,6,Norman - category 1; form 4,nope,yes,Allport Odbert - Column II,9351,inclined to treat others with cruelty or disrespect.,52,,,,,
academic,NA,NA,dropped,nope,nope,Allport Odbert - Column I,1322,theoretical; lacking immediate practical value.,47,,,,,
acceptant,3.00,7,Norman - category 3; form 13,nope,yes,not included,NA,"open and responsive to ideas, impressions, or suggestions.",58,,,,,
accepting,NA,NA,new,nope,nope,new,5558,"receiving of others and ideas, especially willingly.",52,,,,,
accessible,3.90,8,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,5293,easily approachable.,20,,,,,
accommodating,5.10,9,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,16748,willing to help or please; obliging.,36,,,,,
accomplished,4.50,10,Norman - category 1; form 4,nope,yes,Allport Odbert - Column III,5736,"having many skills, talents, or social qualities.",49,,,,,
accountable,NA,NA,dropped,nope,nope,Allport Odbert - Column III,6998,responsible; able to provide justification for one's actions.,61,,,,,
accurate,3.20,11,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,3070,careful and precise.,20,,,,,
accusing,NA,NA,dropped,nope,nope,Allport Odbert - Column II,10164,prone to indicating a belief in others' guilt or culpability.,61,,,,,
acerbic,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,37408,"sharp, sour, or harsh in manner or tone.",40,,,,,
acid,1.00,12,Norman - category 3; form 4,nope,yes,Allport Odbert - Column IV,4516,scornful; sarcastic.,20,,,,,
acquiescent,1.90,13,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,61896,"ready to accept something without protest, or to do what someone else wants.",76,,,,,
acquisitive,1.30,14,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,47300,"having an eager desire to gain or possess, especially material goods.",69,,,,,
acrid,NA,NA,Norman - category 2; form 2,nope,nope,Allport Odbert - Column IV,27058,sharp or biting in language or tone.,36,,,,,
acrimonious,NA,NA,Norman - category 2; form 3,nope,nope,Allport Odbert - Column II,32543,filled with bitterness or rancor.,33,,,,,
active,5.80,15,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,1456,busy; constantly doing something; energetic.,44,,,,,
adaptable,4.50,16,Norman - category 3; form 11,nope,yes,not included,21262,having the capacity to be changed or adjusted.,46,,,,,
adaptive,3.70,17,Norman - category 1; form 2,nope,yes,Allport Odbert - Column IV,10278,capable of changing in response to changes in environment.,58,,,,,
adjustable,2.50,18,Norman - category 3; form 12,nope,yes,not included,13218,able to change or adapt oneself.,32,,,,,
admirable,NA,NA,NA,yes,nope,Allport Odbert - Column III,14544,excellent; worthy of being respected.,35,,,,,
admonitory,NA,NA,Norman - category 3; form 13,nope,nope,new,79886,prone to correcting and cautioning others.,42,,,,,
adorable,NA,NA,NA,yes,nope,Allport Odbert - Column III,14762,lovable; deserving of being liked or admired.,45,,,,,
adroit,NA,NA,Norman - category 2; form 4,nope,nope,Allport Odbert - Column IV,43446,clever; resourceful; skillful in difficult or complicated circumstances.,72,,,,,
adulatory,NA,NA,Norman - category 2; form 5,nope,nope,Allport Odbert - Column I,89634,flattering or excessively admiring.,35,,,,,
adulterous,3.40,19,Norman - category 2; form 1,nope,yes,Allport Odbert - Column III,35634,unfaithful; inclined toward sexual infidelity.,46,,,,,
adventurous,6.30,20,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,14600,given to taking risks and seeking excitement.,45,,,,,
adversarial,NA,NA,new,nope,nope,new,22263,pertaining to or involving opposition between two sides.,56,,,,,
aesthetic,NA,NA,dropped,nope,nope,Allport Odbert - Column I,5064,concerned with beauty or the study of beauty and its forms.,62,,,,,
affable,2.30,21,Norman - category 2; form 1,nope,yes,Allport Odbert - Column I,23668,friendly; easygoing and pleasant in manner and conversation.,60,,,,,
affected,1.90,22,Norman - category 3; form 2,nope,yes,Allport Odbert - Column III,2903,"artificial, pretentious, and designed to impress.",36,,,,,
affectionate,6.30,23,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,17032,readily feeling or showing fondness or tenderness.,50,,,,,
affirmative,3.20,24,Norman - category 3; form 11,nope,yes,not included,6151,agreeing with.,14,,,,,
afraid,NA,NA,NA,yes,nope,Allport Odbert - Column II,1395,feeling fear or apprehension.,29,,,,,
aggravating,NA,NA,NA,yes,nope,Allport Odbert - Column II,28483,causing great annoyance or frustration.,39,,,,,
aggressive,6.50,25,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,2830,characterized by hostility in action.,37,,,,,
agitable,2.40,26,Norman - category 2; form 1,nope,yes,Allport Odbert - Column IV,NA,capable of being troubled or disturbed.,39,,,,,
agitated,NA,NA,dropped,nope,nope,Allport Odbert - Column II,18325,"upset or excited, especially emotionally.",41,,,,,
agitative,2.90,27,Norman - category 2; form 2,nope,yes,Allport Odbert - Column III,NA,"causing others to feel tense, irritable, or restless.",53,,,,,
agreeable,5.50,28,Norman - category 1; form 4,nope,yes,Allport Odbert - Column III,19714,pleasing or likable.,20,,,,,
aimful,1.60,29,Norman - category 3; form 1,nope,yes,Allport Odbert - Column I,NA,having purpose and/or goals.,28,,,,,
aimless,3.10,30,Norman - category 1; form 2,nope,yes,Allport Odbert - Column III,32241,characterized by or having no purpose.,38,,,,,
airy,NA,NA,Norman - category 3; form 3,nope,nope,Allport Odbert - Column I,14661,light in style or manner.,25,,,,,
alarmable,1.60,31,Norman - category 3; form 12,nope,yes,not included,NA,tending to readily sense danger; excitable.,43,,,,,
alcoholic,NA,NA,NA,yes,nope,Allport Odbert - Column II,13416,"regularly drinking too much beer, wine, or liquor.",36,,,,,
alert,4.20,32,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,7213,keenly attentive or responsive; quick to perceive.,50,,,,,
alive,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,1586,animated; energetic.,20,,,,,
alone,NA,NA,NA,yes,nope,Allport Odbert - Column IV,999,solitary; separate from everyone or everything else.,52,,,,,
aloof,4.80,33,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,20840,indifferent; uninvolved or distant.,35,,,,,
altruistic,5.00,34,Norman - category 2; form 3,nope,yes,Allport Odbert - Column I,22307,unselfishly devoted to the welfare of others.,45,,,,,
amazing,NA,NA,NA,yes,nope,Allport Odbert - Column III,2285,"causing wonder, great surprise, or astonishment.",48,,,,,
ambiguous,NA,NA,dropped,nope,nope,Allport Odbert - Column III,9238,unclear; uncertain; obscure.,28,,,,,
